epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2995.32,0.42393,1.06216,0.61383,1.05238,0.69803,0.71956,0.74715,0.65813,0.67368,0.70103,0.71502,0.60752,0.5981,1.55254,0.99233,1.40855,0.000206166,0.000206166,0.000206166
78,3028.14,0.41667,0.99105,0.67135,1.05771,0.74967,0.65824,0.72102,0.644,0.66643,0.70996,0.70951,0.61437,0.59627,1.41514,1.04869,1.38256,0.000203991,0.000203991,0.000203991
79,3060.63,0.4146,1.06075,0.65954,1.03973,0.80256,0.63427,0.73229,0.64686,0.79627,0.62796,0.71989,0.62591,0.60635,1.38595,1.02524,1.38559,0.000201803,0.000201803,0.000201803
80,3087.51,0.40622,0.98466,0.66792,1.03352,0.74741,0.66612,0.73483,0.65682,0.74876,0.65336,0.71261,0.62496,0.48735,1.44717,1.02063,1.11003,0.000199602,0.000199602,0.000199602
81,3162.67,0.37665,0.9199,0.58621,1.01109,0.64475,0.68646,0.7373,0.65445,0.63057,0.67659,0.71907,0.62146,0.48889,1.37656,1.07387,1.11411,0.000197389,0.000197389,0.000197389
82,3205.79,0.44344,0.96823,0.64993,1.05953,0.73357,0.635,0.75643,0.6745,0.72467,0.62956,0.74224,0.64064,0.4921,1.33946,1.01383,1.09742,0.000195165,0.000195165,0.000195165
83,3233.85,0.39669,0.91667,0.59418,1.0329,0.7633,0.71158,0.75902,0.68001,0.71469,0.73287,0.74262,0.63659,0.46572,1.39965,0.97149,1.08894,0.00019293,0.00019293,0.00019293
84,3271.6,0.40437,0.93521,0.65466,1.03263,0.75279,0.7089,0.74683,0.66426,0.74689,0.70128,0.73363,0.62462,0.57693,1.51573,1.08335,1.21132,0.000190685,0.000190685,0.000190685
85,3304.43,0.40846,0.94969,0.65142,1.0512,0.78334,0.6965,0.73951,0.65061,0.77635,0.69044,0.72376,0.61824,0.6152,1.49785,1.03366,1.40325,0.00018843,0.00018843,0.00018843
86,3363.62,0.41156,1.01591,0.64032,1.04268,0.78506,0.65882,0.74514,0.65089,0.76885,0.65825,0.72286,0.62306,0.63362,1.38208,1.01988,1.46102,0.000186167,0.000186167,0.000186167
87,3390.71,0.40568,0.99731,0.58749,1.04304,0.71915,0.67156,0.7251,0.63011,0.70762,0.66263,0.70898,0.61023,0.64347,1.28919,1.0482,1.45956,0.000183894,0.000183894,0.000183894
88,3423.35,0.38784,0.91897,0.5514,1.01281,0.81752,0.60926,0.73584,0.65388,0.7339,0.63582,0.72101,0.6179,0.59218,1.35305,1.0725,1.40483,0.000181614,0.000181614,0.000181614
89,3456.55,0.38811,0.94934,0.58509,1.02352,0.70925,0.66521,0.72253,0.63777,0.7013,0.65961,0.70865,0.60715,0.60656,1.38066,1.17843,1.40829,0.000179326,0.000179326,0.000179326
90,3488.88,0.39092,0.98273,0.64603,1.0317,0.70742,0.66663,0.73115,0.64696,0.69968,0.66087,0.7231,0.61949,0.60159,1.42506,1.05064,1.4028,0.000177031,0.000177031,0.000177031
91,3522.07,0.40935,1.08434,0.65121,1.04574,0.74988,0.60671,0.71328,0.64174,0.73491,0.59705,0.70021,0.60772,0.5951,1.42032,1.05213,1.37831,0.000174731,0.000174731,0.000174731
92,3554.55,0.41687,1.03602,0.64443,1.04929,0.7212,0.66383,0.72892,0.64869,0.70933,0.64261,0.71168,0.61266,0.47325,1.31746,0.98626,1.1178,0.000172424,0.000172424,0.000172424
93,3587.52,0.38878,0.93757,0.61595,1.03586,0.74274,0.69357,0.74231,0.66136,0.73683,0.66523,0.72227,0.63275,0.48355,1.29254,0.95018,1.11814,0.000170112,0.000170112,0.000170112
94,3620.16,0.39845,0.96716,0.63927,1.04491,0.81948,0.63819,0.76637,0.6747,0.79877,0.62285,0.74087,0.64801,0.5211,1.28533,1.04747,1.16605,0.000167796,0.000167796,0.000167796
95,3679.38,0.3601,0.80048,0.56644,1.00346,0.76329,0.6514,0.74928,0.66284,0.75307,0.64231,0.7296,0.64262,0.59208,1.35271,1.10555,1.3447,0.000165475,0.000165475,0.000165475
96,3717.09,0.41555,0.99788,0.61862,1.02758,0.73756,0.70775,0.74781,0.66939,0.73335,0.70357,0.73288,0.64715,0.57628,1.33377,1.0986,1.41845,0.000163151,0.000163151,0.000163151
97,3743.6,0.36005,0.85426,0.51555,1.0043,0.71439,0.70467,0.74205,0.65767,0.7055,0.69594,0.72977,0.63706,0.61057,1.33065,1.17368,1.4574,0.000160824,0.000160824,0.000160824
98,3770.38,0.40944,1.11867,0.6329,1.04122,0.76422,0.69598,0.75455,0.6681,0.75572,0.68736,0.74664,0.6466,0.60556,1.41182,1.1072,1.4588,0.000158495,0.000158495,0.000158495
99,3802.23,0.37135,0.92371,0.55684,1.00657,0.74065,0.68787,0.74104,0.65474,0.68683,0.72126,0.73026,0.62239,0.57954,1.50739,1.09744,1.44856,0.000156164,0.000156164,0.000156164
100,3835.35,0.37936,1.01164,0.57101,1.02454,0.73603,0.69709,0.75571,0.67522,0.72919,0.68935,0.73625,0.64708,0.5766,1.69499,1.26815,1.48251,0.000153833,0.000153833,0.000153833
101,3867.79,0.36434,0.85423,0.55421,1.02297,0.73787,0.72126,0.77148,0.68142,0.72862,0.71234,0.7522,0.64851,0.57181,1.59249,1.60349,1.47254,0.0001515,0.0001515,0.0001515
102,3979.04,0.37309,0.99555,0.54914,1.01758,0.77528,0.70165,0.77972,0.68894,0.8129,0.66873,0.76734,0.65149,0.58193,1.40902,1.34204,1.49335,0.000149167,0.000149167,0.000149167
103,4006.38,0.37399,0.91146,0.55958,1.0168,0.76455,0.68076,0.76813,0.67251,0.75752,0.69072,0.7493,0.64598,0.59318,1.30123,1.34474,1.46755,0.000146836,0.000146836,0.000146836
104,4037.17,0.33863,0.81878,0.46741,0.996,0.73859,0.70506,0.76461,0.67285,0.77057,0.6604,0.74412,0.64664,0.56128,1.28596,1.06395,1.42063,0.000144505,0.000144505,0.000144505
105,4070.27,0.35843,0.83483,0.54938,1.00995,0.76235,0.70329,0.77309,0.6809,0.74476,0.68575,0.75051,0.65148,0.5704,1.33459,0.99529,1.41497,0.000142176,0.000142176,0.000142176
106,4131.43,0.37822,0.98725,0.53597,1.00619,0.79435,0.72287,0.77376,0.68252,0.77716,0.70816,0.74838,0.65456,0.59724,1.40919,1.08963,1.39976,0.000139849,0.000139849,0.000139849
107,4162.27,0.38645,0.94181,0.56028,1.01792,0.7121,0.75872,0.77453,0.68652,0.6937,0.74053,0.74969,0.65441,0.59677,1.46226,1.10698,1.43095,0.000137525,0.000137525,0.000137525
108,4200.21,0.37607,0.95493,0.56126,1.01223,0.76043,0.72917,0.77345,0.68092,0.75374,0.72266,0.76541,0.65684,0.60371,1.38647,1.08449,1.44408,0.000135204,0.000135204,0.000135204
109,4257.68,0.39009,0.94026,0.55065,1.02425,0.75358,0.72304,0.76841,0.67848,0.74997,0.72001,0.7582,0.64728,0.6044,1.42634,1.04968,1.45352,0.000132888,0.000132888,0.000132888
110,4289.36,0.33921,0.79166,0.45357,0.98722,0.69999,0.74007,0.75839,0.67765,0.6977,0.7384,0.74715,0.6439,0.60343,1.54608,1.12622,1.45554,0.000130576,0.000130576,0.000130576
111,4321.96,0.38549,0.9758,0.535,1.00545,0.7478,0.72443,0.76673,0.6835,0.71744,0.7333,0.74871,0.65317,0.59563,1.54642,1.14499,1.45774,0.000128269,0.000128269,0.000128269
112,4355.23,0.36662,0.78413,0.48687,1.00458,0.70891,0.75606,0.76654,0.69026,0.70052,0.74697,0.74885,0.6615,0.57714,1.49444,1.12802,1.44447,0.000125969,0.000125969,0.000125969
113,4386.75,0.33997,0.82963,0.5145,0.98647,0.74415,0.73185,0.76147,0.68571,0.73559,0.72432,0.74589,0.65791,0.57337,1.43933,0.9381,1.46298,0.000123674,0.000123674,0.000123674
114,4416.86,0.36095,0.75034,0.49415,0.98495,0.75541,0.76176,0.7638,0.68052,0.74965,0.75569,0.75137,0.6538,0.56993,1.37066,0.88849,1.4591,0.000121386,0.000121386,0.000121386
115,4449.57,0.35622,0.89114,0.48103,1.00607,0.76447,0.70613,0.77067,0.68853,0.76813,0.69666,0.75705,0.66623,0.5805,1.29063,0.91741,1.43392,0.000119106,0.000119106,0.000119106
